%DEPTH	GR	  RHOB	NPHI	RES-DEEP
%  m	  API  	g/cm3		
639.93	42.5	2.379	0.121	2.68
640.08	38.2	2.373	0.125	2.66
640.23	33.7	2.366	0.128	2.80
640.39	31.7	2.376	0.125	2.91
640.54	31.4	2.383	0.120	2.95
640.69	31.3	2.376	0.110	2.95
640.84	31.3	2.370	0.105	2.95
640.99	31.7	2.385	0.102	2.88
641.15	31.5	2.384	0.099	2.80
641.30	30.7	2.383	0.094	2.77
641.45	30.8	2.402	0.088	2.80
641.60	31.3	2.400	0.091	2.82
641.76	30.5	2.399	0.101	2.74
641.91	28.4	2.394	0.108	2.60
642.06	27.0	2.392	0.107	2.51
642.21	27.9	2.403	0.105	2.50
642.37	29.0	2.408	0.105	2.50
642.52	30.0	2.410	0.108	2.48
642.67	31.3	2.379	0.109	2.52
642.82	32.2	2.350	0.110	2.59
642.98	31.5	2.391	0.113	2.51
643.13	29.5	2.415	0.113	2.43
643.28	28.0	2.398	0.115	2.41
643.43	26.4	2.386	0.117	2.40
643.59	26.0	2.392	0.123	2.41
643.74	27.3	2.395	0.127	2.42
643.89	29.7	2.383	0.123	2.43
644.04	30.7	2.371	0.117	2.45
644.20	30.3	2.370	0.115	2.40
644.35	29.4	2.377	0.119	2.21
644.50	29.1	2.376	0.122	1.99
644.65	30.2	2.371	0.117	1.89
644.80	31.7	2.381	0.110	1.88
644.96	31.3	2.400	0.106	1.88
645.11	29.5	2.392	0.106	1.88
645.26	28.0	2.405	0.104	1.88
645.41	27.1	2.438	0.098	1.85
645.57	27.1	2.437	0.095	1.71
645.72	27.9	2.436	0.097	1.47
645.87	28.8	2.434	0.101	1.30
646.02	28.0	2.431	0.102	1.20
646.18	27.0	2.438	0.101	1.15
646.33	26.3	2.417	0.098	1.14
646.48	25.8	2.396	0.095	1.14
646.63	25.6	2.401	0.093	1.14
646.79	28.2	2.400	0.090	1.11
646.94	32.7	2.387	0.089	1.10
647.09	35.1	2.383	0.089	1.15
647.24	34.2	2.395	0.089	1.15
647.40	30.8	2.409	0.092	1.05
647.55	27.9	2.407	0.101	0.99
647.70	25.1	2.405	0.112	0.98
647.85	22.9	2.403	0.118	0.99
648.01	22.5	2.398	0.120	0.99
