x,y,u,v
574975.0,4710025.0,50.00000000000001,-50.00000000000001
574975.0,4710075.0,50.00000000000001,50.00000000000001
574975.0,4710125.0,150.0,50.00000000000001
574975.0,4710175.0,250.0,50.0
574975.0,4710225.0,350.00000000000006,50.0
574975.0,4710275.0,450.0,50.0
574975.0,4710325.0,550.0,50.0
574975.0,4710375.0,650.0,50.00000000000001
574975.0,4710425.0,750.0,50.0
574975.0,4710475.0,849.9999999999999,49.99999999999999
574975.0,4710525.0,950.0,49.99999999999999
574975.0,4710575.0,1050.0,50.0
574975.0,4710625.0,1150.0,49.99999999999999
574975.0,4710675.0,1250.0,50.00000000000001
574975.0,4710725.0,1350.0,49.99999999999999
574975.0,4710775.0,1450.0,50.0
574975.0,4710825.0,1550.0,50.0
574975.0,4710875.0,1650.0,50.0
574975.0,4710925.0,1750.0,50.0
574975.0,4710975.0,1850.0,50.0
575275.0,4710025.0,49.99999999999995,-650.0
575275.0,4710075.0,49.99999999999995,650.0
575275.0,4710125.0,150.00000000000003,650.0
575275.0,4710175.0,249.99999999999997,650.0
575275.0,4710225.0,349.99999999999994,650.0
575275.0,4710275.0,450.0,650.0000000000001
575275.0,4710325.0,550.0,650.0
575275.0,4710375.0,650.0000000000001,650.0000000000001
575275.0,4710425.0,749.9999999999999,650.0
575275.0,4710475.0,850.0000000000001,650.0
575275.0,4710525.0,950.0,650.0
575275.0,4710575.0,1050.0,650.0
575275.0,4710625.0,1150.0,649.9999999999999
575275.0,4710675.0,1250.0,650.0000000000001
575275.0,4710725.0,1350.0,650.0
575275.0,4710775.0,1450.0,650.0
575275.0,4710825.0,1550.0,650.0
575275.0,4710875.0,1650.0,650.0
575275.0,4710925.0,1750.0,650.0
575275.0,4710975.0,1850.0,650.0
575575.0,4710025.0,49.999999999999886,-1250.0
575575.0,4710075.0,49.999999999999886,1250.0
575575.0,4710125.0,149.99999999999991,1250.0
575575.0,4710175.0,249.99999999999997,1250.0000000000002
575575.0,4710225.0,350.0,1249.9999999999998
575575.0,4710275.0,450.00000000000006,1250.0
575575.0,4710325.0,549.9999999999999,1250.0000000000002
575575.0,4710375.0,650.0000000000001,1250.0
575575.0,4710425.0,749.9999999999999,1250.0
575575.0,4710475.0,850.0,1250.0
575575.0,4710525.0,950.0,1250.0
575575.0,4710575.0,1050.0,1250.0
575575.0,4710625.0,1150.0,1250.0
575575.0,4710675.0,1250.0,1250.0
575575.0,4710725.0,1349.9999999999998,1250.0
575575.0,4710775.0,1449.9999999999998,1250.0
575575.0,4710825.0,1550.0,1250.0
575575.0,4710875.0,1650.0000000000002,1250.0
575575.0,4710925.0,1750.0,1250.0
575575.0,4710975.0,1849.9999999999998,1249.9999999999998
575875.0,4710025.0,50.000000000000064,-1850.0
575875.0,4710075.0,50.000000000000064,1850.0
575875.0,4710125.0,150.00000000000006,1850.0
575875.0,4710175.0,249.99999999999983,1850.0000000000002
575875.0,4710225.0,349.99999999999994,1850.0
575875.0,4710275.0,449.99999999999994,1850.0
575875.0,4710325.0,549.9999999999999,1850.0
575875.0,4710375.0,650.0,1850.0
575875.0,4710425.0,749.9999999999999,1850.0000000000002
575875.0,4710475.0,849.9999999999999,1850.0000000000002
575875.0,4710525.0,950.0000000000001,1849.9999999999998
575875.0,4710575.0,1050.0000000000002,1850.0000000000002
575875.0,4710625.0,1150.0,1850.0000000000002
575875.0,4710675.0,1249.9999999999998,1849.9999999999998
575875.0,4710725.0,1350.0,1850.0000000000002
575875.0,4710775.0,1450.0,1850.0000000000002
575875.0,4710825.0,1549.9999999999998,1849.9999999999998
575875.0,4710875.0,1650.0,1849.9999999999998
575875.0,4710925.0,1750.0,1850.0
575875.0,4710975.0,1850.0000000000002,1850.0000000000002
576175.0,4710025.0,49.99999999999978,-2450.0
576175.0,4710075.0,49.99999999999978,2450.0
576175.0,4710125.0,149.99999999999991,2449.9999999999995
576175.0,4710175.0,249.99999999999997,2450.0
576175.0,4710225.0,349.99999999999983,2450.0
576175.0,4710275.0,450.00000000000006,2450.0
576175.0,4710325.0,550.0,2450.0
576175.0,4710375.0,650.0000000000001,2450.0
576175.0,4710425.0,750.0000000000001,2450.0
576175.0,4710475.0,850.0,2450.0
576175.0,4710525.0,949.9999999999999,2450.0000000000005
576175.0,4710575.0,1050.0,2450.0
576175.0,4710625.0,1150.0000000000005,2450.0
576175.0,4710675.0,1250.0000000000002,2450.0
576175.0,4710725.0,1349.9999999999998,2450.0
576175.0,4710775.0,1450.0,2450.0
576175.0,4710825.0,1550.0000000000002,2450.0
576175.0,4710875.0,1650.0,2450.0
576175.0,4710925.0,1750.0000000000002,2450.0
576175.0,4710975.0,1850.0000000000002,2450.0000000000005
576475.0,4710025.0,50.00000000000001,-3050.0
576475.0,4710075.0,50.00000000000001,3050.0
576475.0,4710125.0,150.0000000000002,3050.0
576475.0,4710175.0,249.99999999999977,3050.0
576475.0,4710225.0,349.9999999999999,3050.0
576475.0,4710275.0,449.99999999999983,3050.0
576475.0,4710325.0,550.0,3050.0000000000005
576475.0,4710375.0,650.0,3049.9999999999995
576475.0,4710425.0,750.0000000000001,3050.0
576475.0,4710475.0,850.0000000000002,3050.0
576475.0,4710525.0,950.0,3050.0
576475.0,4710575.0,1050.0000000000002,3050.0
576475.0,4710625.0,1150.0000000000005,3050.0
576475.0,4710675.0,1249.9999999999998,3050.0
576475.0,4710725.0,1349.9999999999998,3050.0
576475.0,4710775.0,1449.9999999999998,3050.0
576475.0,4710825.0,1550.0000000000002,3050.0
576475.0,4710875.0,1649.9999999999998,3050.0
576475.0,4710925.0,1750.0000000000002,3050.0
576475.0,4710975.0,1850.0000000000002,3050.0
575025.0,4710025.0,50.00000000000001,50.00000000000001
575025.0,4710075.0,50.00000000000001,-50.00000000000001
575025.0,4710125.0,150.0,-50.00000000000001
575025.0,4710175.0,250.0,-50.0
575025.0,4710225.0,350.00000000000006,-50.0
575025.0,4710275.0,450.0,-50.0
575025.0,4710325.0,550.0,-50.0
575025.0,4710375.0,650.0,-50.00000000000001
575025.0,4710425.0,750.0,-50.0
575025.0,4710475.0,849.9999999999999,-49.99999999999999
575025.0,4710525.0,950.0,-49.99999999999999
575025.0,4710575.0,1050.0,-50.0
575025.0,4710625.0,1150.0,-49.99999999999999
575025.0,4710675.0,1250.0,-50.00000000000001
575025.0,4710725.0,1350.0,-49.99999999999999
575025.0,4710775.0,1450.0,-50.0
575025.0,4710825.0,1550.0,-50.0
575025.0,4710875.0,1650.0,-50.0
575025.0,4710925.0,1750.0,-50.0
575025.0,4710975.0,1850.0,-50.0
575325.0,4710025.0,50.00000000000004,-550.0
575325.0,4710075.0,50.00000000000004,550.0
575325.0,4710125.0,150.0,550.0
575325.0,4710175.0,250.00000000000003,549.9999999999999
575325.0,4710225.0,350.0,550.0
575325.0,4710275.0,450.0,550.0
575325.0,4710325.0,550.0000000000001,550.0000000000001
575325.0,4710375.0,650.0,550.0
575325.0,4710425.0,750.0,549.9999999999999
575325.0,4710475.0,850.0,550.0
575325.0,4710525.0,949.9999999999999,550.0
575325.0,4710575.0,1050.0,550.0
575325.0,4710625.0,1150.0,550.0000000000001
575325.0,4710675.0,1250.0,550.0000000000001
575325.0,4710725.0,1350.0,550.0
575325.0,4710775.0,1450.0,550.0
575325.0,4710825.0,1549.9999999999998,550.0
575325.0,4710875.0,1650.0,550.0
575325.0,4710925.0,1750.0,550.0
575325.0,4710975.0,1850.0,550.0
575625.0,4710025.0,49.99999999999989,-1150.0
575625.0,4710075.0,49.99999999999989,1150.0
575625.0,4710125.0,149.9999999999999,1150.0
575625.0,4710175.0,250.00000000000003,1150.0
575625.0,4710225.0,349.9999999999999,1150.0
575625.0,4710275.0,450.00000000000006,1150.0
575625.0,4710325.0,550.0000000000001,1150.0
575625.0,4710375.0,650.0,1149.9999999999998
575625.0,4710425.0,749.9999999999999,1150.0
575625.0,4710475.0,850.0000000000001,1150.0
575625.0,4710525.0,950.0000000000001,1150.0
575625.0,4710575.0,1050.0,1150.0
575625.0,4710625.0,1150.0,1150.0
575625.0,4710675.0,1250.0,1150.0
575625.0,4710725.0,1350.0,1150.0
575625.0,4710775.0,1449.9999999999998,1150.0
575625.0,4710825.0,1550.0,1150.0
575625.0,4710875.0,1649.9999999999998,1150.0000000000002
575625.0,4710925.0,1750.0000000000002,1150.0
575625.0,4710975.0,1850.0000000000002,1150.0
