,rock_name,long,lat,SiO2n,TiO2n,Al2O3n,FeOn,MnOn,MgOn,CaOn,Na2On,K2On,P2O5n
1044,Basaltic andesite,-122.4967,46.1356,56.48,1.51,17.07,7.56,0.12,3.99,8.6,3.61,0.68,0.37
1045,Basaltic andesite,-122.4847,46.1489,56.11,1.51,17.51,7.58,0.11,3.78,7.87,3.68,1.51,0.35
1046,Basaltic andesite,-122.4042,46.1847,55.67,1.72,16.83,8.9,0.16,3.42,7.85,3.93,1.26,0.25
1047,Basaltic andesite,-122.3864,46.1625,56.27,1.08,16.09,7.81,0.14,6.1,7.99,3.35,0.99,0.17
1048,Basaltic andesite,-122.39,46.1761,55.82,1.76,17.39,8.57,0.15,3.13,8.35,3.53,1.06,0.25
1049,Basaltic andesite,-122.4042,46.1858,56.21,0.97,19.38,6.35,0.12,3.68,8.71,3.57,0.83,0.17
1050,Basaltic andesite,-122.4303,46.2439,56.6,1.1,17.87,7.21,0.11,4.45,7.63,3.41,1.38,0.24
1051,Basaltic andesite,-122.4292,46.1867,56.59,1.91,16.2,9.5,0.15,3.28,6.69,4.32,0.94,0.42
1052,Basaltic andesite,-122.4064,46.1847,56.66,1.99,15.34,9.86,0.16,3.42,7.37,4.08,0.81,0.31
1053,Basaltic andesite,-122.3928,46.2119,56.46,0.71,17.43,6.61,0.11,5.18,9.31,2.82,1.21,0.15
1054,Basaltic andesite,-122.4508,46.2189,56.48,0.97,17.03,7.31,0.14,5.49,8.24,3.38,0.8,0.16
1055,Basaltic andesite,-122.3792,46.1889,56.57,1.31,17.09,8.13,0.15,3.95,7.99,3.38,1.17,0.25
1056,Andesite,-122.3828,46.2439,57.39,1.36,16.38,8.17,0.12,4.27,7.3,3.29,1.42,0.3
1057,Basaltic andesite,-122.3817,46.2069,56.87,1.17,16.31,7.86,0.15,5.02,7.84,3.36,1.16,0.25
1058,Andesite,-122.3942,46.1714,57.24,1.44,16.79,7.97,0.14,3.7,7.64,3.44,1.33,0.3
1059,Andesite,-122.3947,46.1892,57.52,1.36,16.36,8.2,0.14,4.11,7.19,3.43,1.39,0.3
1060,Andesite,-122.4061,46.1425,57.26,1.52,17.59,7.32,0.13,3.33,7.25,4.22,1.05,0.32
1061,Andesite,-122.4567,46.2494,57.32,1.12,17.61,7.06,0.11,4.3,7.41,3.47,1.36,0.25
1062,Basaltic andesite,-122.3986,46.2089,57.18,1.16,16.41,7.74,0.13,4.62,7.82,3.48,1.21,0.25
1063,Andesite,-122.4056,46.1769,57.27,1.2,16.28,7.91,0.12,4.48,7.72,3.53,1.24,0.25
1064,Andesite dike,-122.3961,46.1786,59.69,1.53,16.32,7.77,0.16,2.67,6.99,3.96,0.61,0.31
1065,Andesite,-122.4256,46.1722,58.08,1.87,15.82,8.7,0.18,2.73,5.99,4.54,1.47,0.62
1066,Andesite,-122.4006,46.2064,58.38,1.41,16.03,7.89,0.14,3.62,6.98,3.67,1.55,0.32
